feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	KT-193D03	KT-247D03	KT-312D03	KT-347D03	KT-417D03	KT-522D03	KT-525D03	KT-565D03	KT-705D03
CAR 18:1	0.26	0.12	0.39	0.0	0.29	0.33	0.1	0.19	0.11	0.25	0.64	0.08	0.22	0.18	0.0	0.23	0.1	0.17	0.0	0.18	0.12	0.24	0.0	0.26	0.42	0.35	0.31	0.46	0.27
CAR 18:2	0.13	0.0	0.17	0.0	0.1	0.17	0.0	0.07	0.0	0.08	0.33	0.0	0.1	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.12	0.17	0.0
CE 16:1	0.8	0.0	0.74	0.0	1.2	0.65	0.56	0.0	0.48	0.55	0.78	0.77	0.0	0.0	1.21	0.52	0.64	1.13	0.0	0.94	0.0	1.03	0.0	0.36	0.0	0.0	0.0	0.0	0.37
CE 18:1	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.62	0.38	0.46	0.55	0.0	0.0	0.77	0.61	0.45	0.58	0.0	0.57	0.0	0.85	0.0	0.09	0.0	0.0	0.0	0.0	0.16
CE 18:2	8.01	1.06	8.29	2.1	6.52	10.63	8.48	0.18	8.17	7.37	9.21	6.57	1.31	0.0	8.3	0.0	5.21	6.92	0.0	7.9	1.38	3.22	0.0	1.93	1.08	0.0	0.0	0.0	5.73
"Cer 34:1;O2"	0.0	0.28	0.19	0.0	0.16	0.22	0.17	0.2	0.13	0.18	2.02	0.16	0.0	0.23	0.28	0.3	0.18	0.2	0.24	0.15	0.0	0.6	0.0	0.0	0.0	0.47	0.0	0.0	0.0
"Cer 40:1;O2"	0.65	0.43	0.4	0.33	0.38	0.47	0.39	0.52	0.33	0.34	0.62	0.34	0.48	0.58	1.39	0.34	0.38	0.42	0.95	0.3	0.74	1.38	0.43	0.42	0.79	0.8	0.45	0.44	0.69
"Cer 41:1;O2"	0.72	0.39	0.38	0.34	0.36	0.55	0.35	0.52	0.35	0.26	0.4	0.3	0.33	0.58	1.15	0.31	0.42	0.46	0.82	0.29	0.57	0.84	0.34	0.33	0.74	0.46	0.36	0.0	0.5
"Cer 42:1;O2"	2.63	1.78	1.49	1.44	1.35	2.05	1.5	1.8	1.45	1.48	2.27	1.56	1.69	2.0	4.5	1.26	1.82	1.7	3.71	1.37	0.0	0.05	1.59	0.0	0.0	2.7	0.0	1.69	0.0
"Cer 42:2;O2"	0.72	1.07	0.86	0.84	0.81	1.09	0.82	0.93	0.66	0.87	1.78	0.79	0.85	0.98	1.72	1.08	0.89	1.03	1.62	0.59	1.83	2.93	1.29	0.91	1.43	1.83	0.97	1.6	0.54
"Cer 42:3;O2"	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.11	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HexCer 42:1;O2"	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	1.16	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"HexCer 42:2;O2"	0.0	2.71	0.0	0.0	0.0	1.26	0.0	1.26	0.0	0.0	2.06	0.0	0.0	0.0	0.0	1.27	1.43	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 14:0	0.89	1.39	1.1	0.78	1.68	0.78	0.27	1.01	0.21	0.29	0.38	0.99	0.92	1.09	2.49	0.64	1.59	1.5	0.83	0.81	0.0	0.0	18.75	0.0	0.0	0.0	0.0	0.0	0.0
LPC 15:0	2.06	2.02	2.27	2.03	2.29	2.02	1.72	2.2	1.72	1.68	1.9	2.26	2.03	2.15	3.69	1.97	2.19	2.16	1.72	1.79	0.0	0.0	13.89	0.0	0.0	0.0	0.0	0.0	0.0
LPC 16:0	99.19	126.61	114.69	98.23	127.88	87.95	62.76	102.02	61.45	60.43	124.86	116.93	112.88	150.47	171.0	71.14	121.94	104.43	107.02	98.01	1380.28	1573.95	2726.49	1461.52	1796.37	946.9	1027.73	1412.34	1416.12
LPC 16:1	1.82	2.29	2.45	1.76	2.88	1.04	0.89	2.45	0.99	0.98	1.55	2.11	1.96	2.5	3.12	1.12	2.76	2.47	2.16	1.95	17.2	11.13	59.17	21.54	15.51	8.65	16.28	19.57	12.55
LPC 17:0	0.73	0.42	1.47	0.94	0.91	0.95	0.45	0.85	0.33	0.36	1.03	1.13	0.54	0.9	2.34	0.79	1.23	1.07	0.41	0.4	0.0	0.0	28.12	0.0	0.0	0.0	0.0	0.0	0.0
LPC 18:0	31.26	19.21	46.96	35.51	35.31	30.69	23.7	34.36	22.49	22.23	41.59	40.21	35.28	46.15	36.48	24.52	46.98	34.51	37.8	28.95	405.64	593.54	886.51	494.39	537.5	335.2	381.16	503.17	437.06
LPC 18:1	15.85	13.75	22.43	19.82	22.12	13.69	15.87	20.56	15.44	13.26	18.75	20.12	15.9	22.5	24.99	12.89	24.62	19.98	22.7	19.71	457.75	355.06	443.71	302.1	310.73	251.93	306.36	314.01	286.71
LPC 18:2	17.57	7.21	19.46	23.7	15.29	13.25	17.26	18.71	21.3	11.34	19.84	20.13	13.86	29.87	30.22	11.53	31.05	16.99	25.11	17.55	488.09	176.26	253.71	165.38	144.2	159.64	212.66	204.34	217.2
LPC 18:3	5.47	7.66	7.18	5.29	6.01	4.87	4.04	3.57	6.43	4.13	6.39	4.87	7.23	7.76	5.84	3.91	5.59	6.03	5.75	4.47	94.73	52.47	101.55	100.39	102.61	63.64	65.36	105.79	67.3
LPC 20:3	2.75	2.87	3.83	3.12	3.21	1.65	2.03	3.27	2.5	2.38	1.87	2.82	3.15	3.29	4.73	1.76	3.66	2.69	4.57	2.4	38.01	25.47	82.4	24.65	27.53	16.13	25.36	14.52	13.13
LPC 20:4	7.45	5.72	8.23	11.33	7.47	4.03	4.49	6.89	4.78	6.07	7.15	6.61	6.16	7.54	8.09	5.17	10.37	10.62	9.57	4.67	199.72	65.55	163.33	88.28	56.73	80.61	152.61	80.72	76.46
LPC 20:5	0.76	0.36	0.91	0.99	0.6	0.93	1.16	0.74	2.18	0.7	1.26	0.74	1.05	1.9	0.94	0.5	1.2	1.25	1.08	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 22:5	0.43	0.47	0.66	0.77	0.76	0.4	0.36	0.73	0.36	0.76	0.42	0.56	0.47	0.52	0.42	0.24	1.06	0.69	0.69	0.52	10.06	0.0	6.41	0.0	0.0	0.0	27.45	0.0	0.0
LPC 22:6	2.07	1.13	2.1	3.21	2.01	1.86	1.15	1.94	1.1	1.45	1.93	1.71	1.39	1.54	0.79	1.04	3.2	1.72	1.66	1.03	53.07	24.18	63.47	25.08	0.0	30.13	40.54	36.44	27.47
LPC O-16:0	0.88	1.38	1.04	1.08	1.31	0.88	0.8	0.79	0.82	0.6	2.14	1.14	1.18	1.08	1.26	1.11	2.01	0.82	0.64	0.81	0.0	11.23	29.28	14.2	17.64	0.0	10.41	0.0	12.49
LPC 16:0/16:1	1.1	0.93	0.99	0.98	1.09	0.85	0.5	0.84	0.62	0.43	1.01	1.08	0.91	0.82	1.21	0.95	1.69	1.0	0.6	0.65	0.0	0.0	25.37	0.0	0.0	0.0	0.0	0.0	0.0
LPC 16:1/16:2	1.3	1.68	1.49	1.28	1.74	1.17	0.8	1.46	0.75	0.81	1.64	1.52	1.45	1.94	2.28	0.94	1.63	1.33	1.48	1.39	28.24	33.79	43.29	27.69	31.41	16.18	18.11	29.25	25.73
LPC 18:1/18:2	0.35	0.17	0.49	0.36	0.37	0.34	0.18	0.34	0.2	0.18	0.43	0.52	0.27	0.46	0.31	0.25	0.56	0.37	0.36	0.25	0.0	0.0	17.12	0.0	0.0	0.0	0.0	0.0	0.0
PC 30:0	3.4	9.64	3.74	4.6	6.74	5.54	2.32	5.55	1.98	2.34	4.63	3.54	3.22	4.29	15.36	3.51	13.97	10.49	12.28	3.71	0.61	0.55	1.82	0.9	0.0	0.82	0.58	0.0	0.85
PC 32:0	33.09	69.94	34.73	40.42	37.96	42.55	30.69	38.56	33.09	28.83	93.12	31.05	31.78	48.79	59.28	29.82	64.66	51.13	79.1	36.41	12.37	13.11	16.02	10.36	12.42	21.89	11.7	10.3	11.31
PC 32:1	21.54	74.34	27.78	19.82	54.03	18.71	14.87	51.65	19.72	16.44	21.75	25.47	31.86	37.01	65.66	15.41	53.41	34.07	81.13	33.73	8.13	7.19	16.62	8.63	7.15	10.33	8.22	6.11	5.47
PC 32:2	3.14	5.92	3.62	2.71	4.55	4.16	1.19	3.97	1.99	1.45	1.82	2.77	2.55	3.94	8.2	1.61	4.56	3.97	5.48	3.62	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
PC 34:0	1.27	2.72	2.19	0.0	2.21	2.32	1.72	3.92	2.32	0.92	30.49	1.51	0.0	1.88	0.0	1.62	2.77	3.14	2.9	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 34:1	607.33	1412.28	642.75	537.47	1056.55	638.34	507.55	1109.93	644.74	545.73	576.67	624.86	539.04	972.44	1169.04	413.07	847.38	695.76	1606.15	885.08	247.43	238.98	277.38	201.54	203.28	281.66	184.05	179.56	204.55
PC 34:2	776.34	1225.67	755.03	849.34	853.44	1006.35	780.1	965.05	971.05	540.26	911.5	753.94	724.07	1306.13	1470.53	496.52	970.14	793.38	1608.76	1046.7	357.12	338.0	212.82	167.47	282.32	370.11	196.44	278.4	263.13
PC 34:3	17.37	29.34	23.61	13.46	23.21	18.21	11.02	25.31	17.26	8.72	11.72	17.4	16.04	26.77	36.26	12.45	26.86	17.66	31.88	21.15	4.01	3.36	5.2	2.03	2.74	2.63	2.26	2.3	2.84
PC 34:4	1.94	4.22	2.56	0.0	3.28	1.73	0.0	2.76	0.0	0.0	0.0	1.69	1.58	2.22	5.03	1.22	3.03	4.21	4.89	1.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 36:0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	4.28	0.0	1.45	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.5	0.0
PC 36:1	103.12	90.19	193.65	74.49	210.32	110.29	123.38	294.16	76.24	97.03	91.39	203.74	85.52	231.38	127.7	81.62	190.53	135.87	353.34	177.83	19.88	27.91	45.68	32.07	9.96	37.25	19.3	14.86	24.53
PC 36:2	452.15	356.83	538.08	460.78	457.34	598.61	452.14	588.39	571.41	374.65	459.9	460.93	398.51	732.02	630.06	326.02	684.11	535.45	886.9	522.58	138.08	161.46	151.27	110.83	123.25	159.09	99.67	139.26	140.69
PC 36:3	281.12	712.28	366.65	255.24	379.66	270.54	246.14	395.65	285.46	237.52	270.17	262.33	309.64	450.61	680.71	194.58	334.79	326.0	683.96	336.78	51.31	65.82	106.65	38.31	61.5	53.15	41.08	41.87	56.18
PC 36:4	517.63	1112.58	539.87	571.99	615.86	466.87	327.97	587.62	375.88	397.18	502.89	423.23	437.04	694.9	820.9	378.43	625.47	842.7	1146.46	431.04	115.96	80.25	152.43	61.01	73.12	118.4	117.05	76.16	84.86
PC 36:5	38.6	49.27	38.33	40.76	41.33	32.53	24.04	52.8	32.13	17.74	28.97	32.45	30.58	54.65	88.73	30.06	47.4	39.92	70.77	29.28	6.16	3.91	6.8	3.51	2.32	5.73	3.33	6.25	4.74
PC 38:2	3.31	1.77	5.09	4.19	4.83	4.4	4.32	4.12	1.91	1.51	2.47	5.48	2.22	3.56	6.22	4.2	6.56	4.69	2.76	4.04	0.62	0.83	2.68	0.56	0.25	1.03	0.6	0.71	1.1
PC 38:3	94.51	105.01	139.98	68.06	139.0	71.47	64.88	135.67	64.19	76.71	76.43	110.35	120.03	169.29	132.3	68.32	101.54	114.31	240.87	90.22	8.99	16.17	38.68	16.56	18.28	7.96	14.27	11.89	12.36
PC 38:4	277.48	334.63	340.39	309.92	367.11	265.86	175.83	310.01	180.45	241.93	285.23	272.37	259.75	374.63	247.27	204.08	329.54	489.91	581.82	204.73	48.48	46.98	92.35	50.42	52.45	52.97	87.09	54.23	48.93
PC 38:5	149.97	264.35	183.07	166.27	221.94	171.17	102.15	221.97	112.31	133.84	175.91	136.54	129.65	229.46	206.17	119.01	204.47	266.9	302.23	151.41	29.42	25.48	42.74	21.78	32.04	30.6	41.02	23.42	27.11
PC 38:6	311.12	378.4	258.24	360.43	361.95	424.01	158.15	391.13	159.31	164.3	365.09	201.21	199.12	363.05	221.71	183.93	322.14	334.15	449.24	201.07	42.43	46.04	66.54	31.88	28.53	39.13	28.64	54.52	33.65
PC 38:7	9.39	14.96	10.39	11.21	9.42	7.84	6.97	8.35	11.8	8.49	10.36	7.52	9.15	13.1	12.08	6.78	8.96	10.53	13.12	7.2	2.05	0.65	1.53	1.53	1.6	2.24	1.46	2.46	1.33
PC 40:4	3.96	8.97	12.31	5.04	20.3	6.5	6.05	12.1	3.94	5.73	10.35	10.49	10.39	12.98	10.04	5.9	8.98	9.87	15.4	8.38	0.64	0.85	2.06	1.38	1.85	0.74	3.23	0.9	1.09
PC 40:5	29.8	34.03	49.89	29.01	66.27	42.47	23.84	62.72	20.68	34.42	40.35	41.65	35.36	61.51	34.93	26.8	51.26	56.7	67.8	35.48	4.33	6.6	11.52	7.67	7.33	6.3	13.31	5.88	6.07
PC 40:6	110.95	76.28	143.02	100.44	162.54	158.95	59.53	178.53	53.67	66.76	123.47	103.7	85.25	159.23	53.0	77.1	145.77	147.14	169.23	71.28	14.44	17.34	40.32	19.63	9.15	17.54	18.29	25.58	16.05
PC 40:7	13.84	18.23	19.95	14.49	18.12	18.5	9.14	24.5	10.59	11.79	17.22	10.7	9.28	17.46	13.3	11.56	15.62	23.65	23.16	14.24	1.34	1.31	3.16	1.72	1.3	1.51	1.2	1.86	1.48
PC 40:8	6.31	8.36	7.56	7.44	7.72	6.75	4.49	6.92	7.2	5.48	9.59	4.71	6.33	10.1	8.68	5.56	7.12	9.48	12.32	5.49	1.02	0.48	0.64	0.86	1.03	1.0	0.99	0.83	0.0
PC O-32:0	4.66	9.79	4.52	6.59	6.26	7.24	5.39	11.72	8.42	3.55	112.56	5.62	3.84	4.28	6.93	5.46	9.27	7.37	6.91	4.77	1.25	1.46	1.43	1.62	1.46	1.47	1.46	1.16	1.37
"PC 32:1;O/32:0;P"	6.76	8.37	5.23	8.89	6.36	7.37	4.4	10.32	6.56	3.36	24.23	5.28	4.72	6.33	7.54	5.64	10.13	9.17	7.64	5.75	0.8	1.22	1.29	1.12	1.13	1.2	1.15	1.12	1.12
"PC 34:0;P/34:1;O"	11.86	20.47	10.05	12.83	16.1	14.22	12.45	25.29	18.11	8.11	108.62	11.78	9.43	12.23	31.53	11.02	20.93	18.15	16.14	14.11	2.25	3.08	3.45	2.67	2.45	3.78	2.17	2.43	3.42
"PC 34:1;P/34:2;O"	18.25	23.07	17.81	17.65	32.99	22.4	18.22	27.38	23.12	12.67	69.15	19.9	19.3	32.08	40.86	18.58	32.13	21.09	27.41	20.04	2.1	2.43	2.96	0.86	2.4	2.4	1.3	2.37	3.3
"PC 36:1;P/36:2;O"	5.18	7.08	5.66	5.9	10.41	7.33	5.41	11.37	7.83	3.32	43.33	6.32	5.25	8.18	14.06	6.15	11.32	7.47	8.02	7.1	0.82	0.95	1.24	0.71	1.03	1.02	0.68	0.83	1.26
"PC 36:2;P/36:3;O"	16.81	21.21	18.49	14.65	25.92	18.47	14.19	19.52	19.2	13.01	46.18	15.51	18.04	29.52	30.14	17.66	26.19	20.27	29.87	18.58	2.08	2.73	3.1	1.63	3.18	2.2	2.61	2.18	3.49
"PE 36:3;P/36:4;O"	50.59	54.47	55.79	44.96	53.42	50.38	35.91	42.61	51.97	46.14	97.5	40.03	45.81	78.55	48.07	52.1	63.52	64.44	88.78	44.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PC 38:2;P/38:3;O"	3.79	6.28	4.95	4.94	5.89	5.13	4.01	6.8	4.87	3.32	10.42	4.42	3.3	6.88	7.94	5.01	6.81	6.48	7.02	5.14	0.0	0.79	0.77	0.52	1.0	0.6	0.91	0.0	0.87
"PC 38:3;P/38:4;O"	21.9	29.78	27.51	24.62	27.77	27.1	21.9	26.33	24.61	25.13	54.49	21.84	22.34	36.84	28.28	26.2	31.6	37.79	36.36	28.28	2.7	4.43	4.31	3.03	5.97	3.93	5.91	4.28	5.3
"PC 38:4;P/38:5;O"	32.75	27.86	34.04	30.05	35.68	33.26	25.79	20.76	27.16	28.2	55.42	24.65	31.76	38.82	22.84	35.37	40.72	52.08	39.05	27.24	3.74	5.25	4.99	3.65	7.7	5.68	7.4	6.11	8.72
"PC 40:3;P/40:4;O"	2.22	4.11	2.87	3.64	3.93	3.48	2.92	4.16	2.84	2.65	7.15	3.36	1.64	3.46	4.46	3.17	4.38	5.11	4.27	3.17	0.0	0.53	0.0	0.4	0.84	0.0	0.8	0.0	0.64
"PC 42:3;P/42:4;O"	1.14	2.27	0.0	2.04	2.31	1.67	1.22	2.26	1.16	1.15	2.61	1.66	0.0	0.0	3.09	1.18	2.69	2.84	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PE 38:4;P/38:5;O"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SM 32:1;O2"	5.4	11.31	3.92	6.5	6.23	7.6	4.39	6.97	3.87	4.11	6.29	4.65	4.32	8.93	12.9	3.23	7.12	8.8	8.63	3.48	2.75	3.4	4.22	2.34	2.79	2.18	2.23	1.98	3.31
"SM 33:1;O2"	3.62	4.72	2.61	4.45	3.48	4.05	2.12	4.08	2.56	2.41	5.02	2.29	2.28	4.99	7.57	2.37	4.05	5.15	4.38	1.43	1.53	2.11	2.32	1.18	1.08	1.32	1.32	1.13	1.89
"SM 34:1;O2"	113.3	216.53	113.4	155.12	126.62	182.1	106.63	146.98	127.8	117.29	235.92	137.02	103.9	142.08	204.72	117.16	153.02	198.78	177.78	98.22	87.2	114.6	82.62	56.98	84.51	72.98	79.67	86.15	85.73
"SM 34:2;O2"	16.08	24.17	12.0	15.78	16.32	15.03	9.42	16.62	11.77	10.72	19.75	12.88	11.28	18.63	18.87	9.97	15.52	22.36	21.3	9.26	8.38	10.32	8.49	5.68	7.63	6.7	6.42	7.54	9.47
"SM 35:1;O2"	1.38	1.82	1.15	2.47	1.33	2.1	1.03	1.85	1.04	1.0	2.21	1.24	1.04	1.97	4.18	1.19	1.84	2.18	1.66	0.7	0.71	1.0	0.9	0.48	0.0	0.61	0.78	0.0	0.8
"SM 36:1;O2"	19.78	37.59	14.13	33.76	19.88	29.45	20.99	23.85	20.48	24.46	35.83	22.28	20.8	29.24	37.24	16.43	22.94	26.89	33.89	16.43	18.62	29.06	16.48	10.1	13.98	13.92	19.43	13.43	17.88
"SM 36:2;O2"	8.98	13.93	5.78	12.77	9.77	10.35	7.83	11.07	8.38	8.45	14.23	9.23	7.61	12.74	13.56	6.2	8.58	11.86	14.62	6.33	6.28	7.49	4.57	3.07	4.01	4.28	5.89	4.43	6.62
"SM 37:1;O2"	0.6	0.9	0.0	0.87	0.0	0.87	0.0	1.0	0.5	0.0	0.89	0.0	0.0	0.96	1.6	0.0	0.74	0.81	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SM 38:1;O2"	12.46	26.58	9.59	15.89	10.19	16.58	11.33	17.58	11.96	12.26	20.33	12.39	12.32	17.62	25.36	7.51	15.14	15.01	19.95	10.04	8.29	11.89	8.3	4.57	5.76	5.64	8.27	4.62	7.56
"SM 38:2;O2"	5.06	8.18	3.91	6.58	4.44	5.87	4.77	7.46	4.19	4.98	8.05	5.17	4.31	6.68	6.05	3.49	5.04	6.71	7.69	4.08	2.88	3.07	2.58	1.64	1.77	1.95	3.01	1.76	3.28
"SM 39:1;O2"	3.58	5.8	2.09	3.14	2.54	4.53	1.82	4.59	2.42	1.47	3.95	1.85	2.26	4.72	6.9	1.18	3.51	3.54	4.0	1.69	0.96	1.38	1.21	0.7	0.0	0.56	1.4	0.0	1.26
"SM 40:1;O2"	38.27	58.17	24.28	30.49	26.78	42.04	21.66	36.7	28.83	25.95	48.27	27.85	30.2	39.17	54.69	16.24	34.69	33.83	46.59	23.07	18.69	29.6	17.69	11.8	15.83	13.0	18.19	14.29	15.41
"SM 40:2;O2"	21.47	44.84	17.08	22.24	20.86	26.2	15.29	23.62	17.87	16.19	27.67	20.08	18.97	26.1	31.82	11.64	19.55	25.26	27.48	14.89	11.26	12.77	9.8	8.3	8.82	6.93	10.7	9.37	12.19
"SM 40:3;O2"	0.92	1.29	0.0	1.15	0.96	1.85	0.92	1.42	0.74	1.19	1.6	0.0	0.86	1.2	0.0	0.78	0.0	1.49	0.76	0.54	0.73	0.98	0.93	0.53	0.0	0.55	1.14	0.0	0.88
"SM 41:1;O2"	18.97	21.93	9.65	12.61	11.24	20.26	8.64	16.43	11.66	9.45	18.17	9.48	8.52	16.86	19.74	5.96	14.37	15.53	17.55	9.13	6.29	9.25	5.7	4.51	5.45	3.43	6.78	3.83	5.58
"SM 41:2;O2"	9.78	16.21	7.41	10.74	9.37	13.42	6.18	11.34	7.49	6.18	11.98	7.21	5.95	11.52	13.0	5.11	10.74	12.6	10.71	5.98	3.77	4.15	4.33	2.98	3.1	2.29	4.0	3.07	4.59
"SM 42:1;O2"	33.28	36.5	17.95	21.8	21.55	36.22	15.77	28.51	21.75	21.71	38.58	22.58	20.48	26.61	38.27	13.47	29.15	27.37	35.34	19.44	13.53	20.5	13.04	10.76	15.67	10.2	15.12	12.2	11.03
"SM 42:2;O2"	68.64	149.64	59.25	91.1	71.67	104.67	64.42	78.14	65.52	83.48	126.67	76.22	65.76	80.67	89.65	60.12	99.9	105.01	92.82	60.49	50.12	69.2	54.63	38.74	49.71	42.3	46.29	57.85	47.47
"SM 42:3;O2"	34.44	71.8	24.65	40.89	35.26	46.68	25.79	37.63	26.7	33.41	54.52	33.14	27.63	35.07	37.39	27.43	46.64	52.72	39.23	24.35	25.21	25.12	24.83	18.46	18.7	16.96	22.46	23.15	23.57
"SM 42:4;O2"	3.27	6.64	2.37	3.58	3.12	4.67	1.92	4.0	4.54	2.56	4.21	2.6	3.48	3.34	3.99	3.7	4.5	4.62	3.14	1.54	1.5	1.44	1.72	1.36	1.02	0.91	1.71	1.22	1.51
"SM 43:1;O2"	0.51	0.0	0.0	0.0	0.0	0.67	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SM 43:2;O2"	0.74	0.99	0.72	0.95	0.0	1.38	0.63	0.62	0.5	0.71	0.9	0.55	0.0	0.94	0.64	0.39	1.04	1.43	0.6	0.0	0.0	0.67	0.72	0.0	0.0	0.0	0.0	0.0	0.0
TG 46:1	0.68	0.0	1.62	0.0	1.86	1.04	3.34	0.0	0.36	0.85	0.0	1.22	0.0	0.0	2.37	0.41	5.82	1.96	0.0	2.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 46:2	0.0	0.0	0.0	0.0	0.57	0.39	1.11	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.44	0.0	2.01	0.81	0.0	0.91	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:0	2.44	0.0	1.97	0.0	2.2	1.13	3.77	0.0	0.91	0.72	0.46	1.75	0.0	0.0	6.95	0.0	3.65	2.4	0.0	7.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
